.thisTrialN,.stepSize,.intensity,time.onset,cue.color,.response,Target_Resp.rt,Trial.rewardType,Total_Earned,time.global,time.nominal,time.trial,time.plannedfixlength,time.actualfixlength,fMRI? (yes or no),date,expName,participant,frameRate,
0,6,13.0,8.02943992615,Blue,1,0.367166996002,-1,0,12.130368948,12.1317710861,4.09904503822,0.468153236779,0.466791152954,yes,2018_Nov_19_1629,MID1.0,003,60.0355263177,
1,6,7.0,12.1314139366,Green,1,0.267267942429,1,1,16.4137489796,16.4038856988,4.28195500374,0.489811754685,0.499716043472,yes,2018_Nov_19_1629,MID1.0,003,60.0355263177,
2,3,1.0,16.414375782,Green,0,,-1,1,20.5812778473,20.5888632821,4.16653585434,0.474375395622,0.466835021973,yes,2018_Nov_19_1629,MID1.0,003,60.0355263177,
3,3,4.0,20.5820579529,Green,0,,-1,1,24.8816387653,24.8908233013,4.29904603958,0.492529329334,0.483382940292,yes,2018_Nov_19_1629,MID1.0,003,60.0355263177,
4,3,7.0,24.8821687698,Green,1,0.267204046249,1,2,29.1988668442,29.2036834534,4.31635117531,0.504857617221,0.500090122223,yes,2018_Nov_19_1629,MID1.0,003,60.0355263177,
5,3,7.0,29.1994829178,Green,0,,-1,2,33.2324168682,33.236447883,4.03238201141,0.503955912961,0.499961853027,yes,2018_Nov_19_1629,MID1.0,003,60.0355263177,
6,3,10.0,33.2329959869,Green,1,0.320039987564,1,3,37.232973814,37.2430318788,3.99967908859,0.493391890855,0.483434915543,yes,2018_Nov_19_1629,MID1.0,003,60.0355263177,
7,3,10.0,37.2336969376,Green,0,,-1,3,41.650094986,41.6617664198,4.41585612297,0.495142589053,0.483508110046,yes,2018_Nov_19_1629,MID1.0,003,60.0355263177,
8,3,13.0,41.6506779194,Green,1,0.384099960327,1,4,45.7839949131,45.791443427,4.13297080994,0.49075659077,0.483366012573,yes,2018_Nov_19_1629,MID1.0,003,60.0355263177,
9,3,13.0,45.7848927975,Green,1,0.367244958878,1,5,49.9008448124,49.9086089075,4.11533021927,0.49141811736,0.483695030212,yes,2018_Nov_19_1629,MID1.0,003,60.0355263177,
10,3,10.0,49.9013710022,Green,1,0.317190885544,1,6,54.4013597965,54.4064313253,4.49955892563,0.472113498067,0.467081069946,yes,2018_Nov_19_1629,MID1.0,003,60.0355263177,
11,3,10.0,54.4019458294,Green,1,0.300519227982,1,7,58.6351699829,58.6415630791,4.23285484314,0.473115107708,0.466758012772,yes,2018_Nov_19_1629,MID1.0,003,60.0355263177,
12,3,7.0,58.6356887817,Green,1,0.267109155655,1,8,63.0523679256,63.0597938047,4.41625809669,0.490787838503,0.483397960663,yes,2018_Nov_19_1629,MID1.0,003,60.0355263177,
