.thisTrialN,.stepSize,.intensity,time.onset,cue.color,.response,Target_Resp.rt,Trial.rewardType,Total_Earned,time.global,time.nominal,time.trial,time.plannedfixlength,time.actualfixlength,fMRI? (yes or no),date,expName,participant,frameRate,
13,3,7.0,63.0529267788,Green,1,0.267183065414,1,9,67.2861208916,67.297970409,4.23279714584,0.495339507703,0.48352599144,yes,2018_Nov_19_1629,MID1.0,003,60.0355263177,
14,2,4.0,67.2866408825,Green,0,,-1,9,71.6194078922,71.6175044793,4.33239603043,0.497771622561,0.499723911285,yes,2018_Nov_19_1629,MID1.0,003,60.0355263177,
15,2,6.0,71.6199989319,Green,1,0.250646114349,1,10,75.6868338585,75.6928126913,4.06637883186,0.489225874535,0.483286142349,yes,2018_Nov_19_1629,MID1.0,003,60.0355263177,
16,2,6.0,75.6874189377,Green,0,,-1,10,80.0040488243,80.0102430205,4.31627607346,0.472943149021,0.466805934906,yes,2018_Nov_19_1629,MID1.0,003,60.0355263177,
17,2,8.0,80.004737854,Blue,1,0.283886909485,-1,10,84.4378428459,84.444265674,4.43271398544,0.489759753627,0.483377933502,yes,2018_Nov_19_1629,MID1.0,003,60.0355263177,
18,2,8.0,84.4383819103,Green,1,0.283839941025,1,11,88.7049319744,88.7058562792,4.2661151886,0.500897363519,0.500010967255,yes,2018_Nov_19_1629,MID1.0,003,60.0355263177,
19,2,6.0,88.705496788,Blue,1,0.250608205795,-1,11,93.0721578598,93.0764822073,4.36624097824,0.487740428002,0.483463048935,yes,2018_Nov_19_1629,MID1.0,003,60.0355263177,
20,2,6.0,93.0728149414,Green,1,0.250691890717,1,12,97.4057979584,97.412187945,4.33241295815,0.489622961647,0.483273983002,yes,2018_Nov_19_1629,MID1.0,003,60.0355263177,
21,2,4.0,97.406444788,Green,1,0.217268228531,1,13,101.439609766,101.444203664,4.0327808857,0.487998772923,0.483439922333,yes,2018_Nov_19_1629,MID1.0,003,60.0355263177,
22,1,4.0,101.440104961,Blue,0,,-1,13,105.823461771,105.823318787,4.38291811943,0.483300991709,0.48348903656,yes,2018_Nov_19_1629,MID1.0,003,60.0355263177,
23,1,5.0,105.824071884,Blue,1,0.233899831772,-1,13,110.107198,110.118868579,4.28267002106,0.494931687181,0.483304023743,yes,2018_Nov_19_1629,MID1.0,003,60.0355263177,
24,1,5.0,110.107961893,Blue,1,0.233747959137,-1,13,114.257540941,114.269502408,4.14912199974,0.495246417513,0.483325004578,yes,2018_Nov_19_1629,MID1.0,003,60.0355263177,
25,1,4.0,114.258154869,Blue,1,0.217212915421,-1,13,118.274663925,118.285008284,4.01612186432,0.493691298146,0.483388900757,yes,2018_Nov_19_1629,MID1.0,003,60.0355263177,
26,1,4.0,118.27525878,Blue,1,0.21709394455,-1,13,122.708563805,122.717771903,4.43292713165,0.509307041803,0.500139951706,yes,2018_Nov_19_1629,MID1.0,003,60.0355263177,
27,1,3.0,122.70921278,Green,0,,-1,13,126.94240284,126.954146447,4.23283004761,0.495154681076,0.483468055725,yes,2018_Nov_19_1629,MID1.0,003,60.0355263177,
28,1,4.0,126.943033934,Blue,1,0.2208340168,-1,13,131.309503794,131.313558409,4.36595797539,0.504082510342,0.50007891655,yes,2018_Nov_19_1629,MID1.0,003,60.0355263177,
29,1,4.0,131.310150862,Blue,1,0.217267990112,-1,13,135.743211985,135.752964809,4.43258094788,0.493117883477,0.483407020569,yes,2018_Nov_19_1629,MID1.0,003,60.0355263177,
30,1,3.0,135.743886948,Green,0,,-1,13,140.110337973,140.110029551,4.36602187157,0.499686571587,0.500044822693,yes,2018_Nov_19_1629,MID1.0,003,60.0355263177,
31,1,4.0,140.111103773,Blue,1,0.217316865921,-1,13,144.577041864,144.570578885,4.46539402008,0.493257117003,0.499772071838,yes,2018_Nov_19_1629,MID1.0,003,60.0355263177,
32,1,4.0,144.577632904,Green,1,0.21718287468,1,14,148.761189938,148.768060587,4.18305802345,0.47396268642,0.467128038406,yes,2018_Nov_19_1629,MID1.0,003,60.0355263177,
33,1,3.0,148.761639833,Green,1,0.203523159027,1,15,153.161650896,153.168514972,4.39956903458,0.490207200621,0.483382225037,yes,2018_Nov_19_1629,MID1.0,003,60.0355263177,
34,1,3.0,153.16226697,Green,0,,-1,15,157.394906998,157.3908255,4.23228812218,0.47910355552,0.483244895935,yes,2018_Nov_19_1629,MID1.0,003,60.0355263177,
35,1,4.0,157.395867825,Green,1,0.217220067978,1,16,161.86213088,161.858618861,4.46568799019,0.479515915853,0.483080863953,yes,2018_Nov_19_1629,MID1.0,003,60.0355263177,
36,1,4.0,161.862777948,Green,0,,-1,16,166.312627792,166.298052191,4.44947814941,0.484913229558,0.499538898468,yes,2018_Nov_19_1629,MID1.0,003,60.0355263177,
37,1,5.0,166.313247919,Blue,0,,-1,16,170.346796989,170.346779346,4.03301787376,0.483351468789,0.483411073685,yes,2018_Nov_19_1629,MID1.0,003,60.0355263177,
38,1,6.0,170.347365856,Blue,0,,-1,16,174.41386199,174.414763776,4.06598901749,0.484335986628,0.483471155167,yes,2018_Nov_19_1629,MID1.0,003,60.0355263177,
39,1,7.0,174.415335894,Blue,1,0.267117023468,-1,16,178.514212847,178.523257247,4.0984210968,0.492402306518,0.483392953873,yes,2018_Nov_19_1629,MID1.0,003,60.0355263177,
40,1,7.0,178.514723778,Green,1,0.267175197601,1,17,182.998091936,183.005997316,4.48295688629,0.507866518042,0.500028133392,yes,2018_Nov_19_1629,MID1.0,003,60.0355263177,
41,1,6.0,182.998631954,Green,1,0.25048995018,1,18,187.215196848,187.22407825,4.21628093719,0.492202353241,0.48343706131,yes,2018_Nov_19_1629,MID1.0,003,60.0355263177,
42,1,6.0,187.215801954,Green,0,,-1,18,191.532192945,191.537402395,4.31593894958,0.488549474596,0.483376979828,yes,2018_Nov_19_1629,MID1.0,003,60.0355263177,
43,1,7.0,191.53280282,Green,0,,-1,18,195.682719946,195.687915494,4.14956092834,0.488616635699,0.483461141586,yes,2018_Nov_19_1629,MID1.0,003,60.0355263177,
44,1,8.0,195.683248997,Blue,1,0.283835887909,-1,18,199.933148861,199.941536986,4.24936389923,0.491794192219,0.483446121216,yes,2018_Nov_19_1629,MID1.0,003,60.0355263177,
