.thisTrialN,.stepSize,.intensity,time.onset,cue.color,.response,Target_Resp.rt,Trial.rewardType,Total_Earned,time.global,time.nominal,time.trial,time.plannedfixlength,time.actualfixlength,fMRI? (yes or no),date,expName,participant,frameRate,
0,6,13.0,8.02528500557,Green,1,0.367210865021,1,1,12.126046896,12.126675063,4.09869718552,0.467150145409,0.4665620327,yes,2018_Nov_20_0911,MID1.0,004,60.0233264022,
1,6,7.0,12.1280479431,Green,1,0.267240047455,1,2,16.1763980389,16.1782580801,4.04796910286,0.468461174609,0.46665096283,yes,2018_Nov_20_0911,MID1.0,004,60.0233264022,
2,3,1.0,16.1769759655,Blue,0,,-1,2,20.3765878677,20.3762872014,4.19927191734,0.483056286363,0.483412027359,yes,2018_Nov_20_0911,MID1.0,004,60.0233264022,
3,3,4.0,20.3771979809,Green,1,0.220060110092,1,3,24.444081068,24.4537733368,4.06651496887,0.493147449916,0.483489990234,yes,2018_Nov_20_0911,MID1.0,004,60.0233264022,
4,3,4.0,24.4445769787,Green,0,,-1,3,28.4776139259,28.4870308847,4.03253006935,0.492611786773,0.483234882355,yes,2018_Nov_20_0911,MID1.0,004,60.0233264022,
5,3,7.0,28.4782209396,Blue,0,,-1,3,32.678153038,32.6878263919,4.1995780468,0.492983338098,0.483345985413,yes,2018_Nov_20_0911,MID1.0,004,60.0233264022,
6,3,10.0,32.678663969,Blue,1,0.317139148712,-1,3,37.1454780102,37.1468039135,4.46639418602,0.501380024299,0.500097036362,yes,2018_Nov_20_0911,MID1.0,004,60.0233264022,
7,3,10.0,37.147413969,Green,1,0.303923845291,1,4,41.5457298756,41.5470300892,4.39784312248,0.484637139149,0.483371019363,yes,2018_Nov_20_0911,MID1.0,004,60.0233264022,
8,2,7.0,41.5462489128,Green,0,,-1,4,45.9298260212,45.9296113905,4.38317394257,0.483185475696,0.483458995819,yes,2018_Nov_20_0911,MID1.0,004,60.0233264022,
9,2,9.0,45.9307420254,Blue,1,0.300762891769,-1,4,50.0301918983,50.0405754783,4.09857392311,0.493730519046,0.483397960663,yes,2018_Nov_20_0911,MID1.0,004,60.0233264022,
10,2,9.0,50.031126976,Green,1,0.300837039948,1,5,54.2972018719,54.3089154824,4.26546382904,0.494962559572,0.48330116272,yes,2018_Nov_20_0911,MID1.0,004,60.0233264022,
11,2,7.0,54.2981660366,Green,1,0.267367839813,1,6,58.4476358891,58.4472568041,4.14884185791,0.499690771704,0.500122070312,yes,2018_Nov_20_0911,MID1.0,004,60.0233264022,
12,1,7.0,58.4485399723,Green,0,,-1,6,62.5314240456,62.5335890688,4.08219790459,0.485608044968,0.483496904373,yes,2018_Nov_20_0911,MID1.0,004,60.0233264022,
13,1,8.0,62.5323190689,Green,0,,-1,6,66.5815470219,66.586680715,4.04869008064,0.488406722433,0.483319997787,yes,2018_Nov_20_0911,MID1.0,004,60.0233264022,
14,1,9.0,66.582144022,Green,1,0.300527095795,1,7,70.6819279194,70.6938809313,4.09943008423,0.49521102083,0.483292102814,yes,2018_Nov_20_0911,MID1.0,004,60.0233264022,
15,1,9.0,70.6825799942,Green,1,0.300754070282,1,8,75.1492030621,75.157618747,4.46626591682,0.474962697247,0.466598987579,yes,2018_Nov_20_0911,MID1.0,004,60.0233264022,
