.thisTrialN,.stepSize,.intensity,time.onset,cue.color,.response,Target_Resp.rt,Trial.rewardType,Total_Earned,time.global,time.nominal,time.trial,time.plannedfixlength,time.actualfixlength,fMRI? (yes or no),date,expName,participant,frameRate,
16,1,8.0,75.1500220299,Blue,1,0.2839448452,-1,8,79.5663170815,79.5720787714,4.41563296318,0.489121742022,0.483407974243,yes,2018_Nov_20_0911,MID1.0,004,60.0233264022,
17,1,8.0,79.5670368671,Green,0,,-1,8,83.9667050838,83.9754049447,4.39915704727,0.49209805995,0.48345208168,yes,2018_Nov_20_0911,MID1.0,004,60.0233264022,
18,1,9.0,83.9675109386,Blue,1,0.283864974976,-1,8,88.3671429157,88.375628864,4.39919710159,0.475162898716,0.466717004776,yes,2018_Nov_20_0911,MID1.0,004,60.0233264022,
19,1,9.0,88.3678090572,Blue,1,0.304350852966,-1,8,92.4675409794,92.472346673,4.09931492805,0.488505730614,0.483741044998,yes,2018_Nov_20_0911,MID1.0,004,60.0233264022,
20,1,8.0,92.4681808949,Blue,1,0.283799886703,-1,8,96.6179258823,96.6272716516,4.14932608604,0.492757558248,0.483447790146,yes,2018_Nov_20_0911,MID1.0,004,60.0233264022,
21,1,8.0,96.6185460091,Blue,1,0.267088890076,-1,8,100.935065985,100.940759453,4.31614804268,0.489068540606,0.483426094055,yes,2018_Nov_20_0911,MID1.0,004,60.0233264022,
22,1,7.0,100.935681105,Green,1,0.26739692688,1,9,105.302109003,105.306706807,4.36605501175,0.504596850551,0.500038146973,yes,2018_Nov_20_0911,MID1.0,004,60.0233264022,
23,1,7.0,105.30281496,Green,1,0.267336845398,1,10,109.735562086,109.734030986,4.43227720261,0.481402898291,0.482977867126,yes,2018_Nov_20_0911,MID1.0,004,60.0233264022,
24,1,6.0,109.736155987,Blue,0,,-1,10,114.16979003,114.174056362,4.43316698074,0.488067458923,0.483837127686,yes,2018_Nov_20_0911,MID1.0,004,60.0233264022,
25,1,7.0,114.17027092,Green,1,0.270720005035,1,11,118.219671965,118.217415488,4.04896783829,0.49737445168,0.499698877335,yes,2018_Nov_20_0911,MID1.0,004,60.0233264022,
26,1,7.0,118.220328093,Green,1,0.267261981964,1,12,122.520488977,122.52034143,4.29971504211,0.483019385774,0.483204841614,yes,2018_Nov_20_0911,MID1.0,004,60.0233264022,
27,1,6.0,122.5211339,Green,0,,-1,12,126.854371071,126.856192158,4.3328499794,0.485189245883,0.48341012001,yes,2018_Nov_20_0911,MID1.0,004,60.0233264022,
28,1,7.0,126.855055094,Blue,1,0.28691983223,-1,12,131.104722977,131.109169046,4.24924302101,0.487776080943,0.483366966248,yes,2018_Nov_20_0911,MID1.0,004,60.0233264022,
29,1,7.0,131.105352879,Blue,1,0.250538825989,-1,12,135.188486099,135.198064133,4.08274888992,0.476353213046,0.466809988022,yes,2018_Nov_20_0911,MID1.0,004,60.0233264022,
30,1,6.0,135.188982964,Blue,1,0.250555038452,-1,12,139.438484907,139.434858077,4.24909996986,0.495886080865,0.499561071396,yes,2018_Nov_20_0911,MID1.0,004,60.0233264022,
31,1,6.0,139.439167023,Green,1,0.250540971756,1,13,143.47272706,143.479531181,4.03303003311,0.490271222538,0.483510017395,yes,2018_Nov_20_0911,MID1.0,004,60.0233264022,
32,1,5.0,143.473345041,Green,1,0.233980178833,1,14,147.939859867,147.946825363,4.46599197388,0.490842439248,0.483920097351,yes,2018_Nov_20_0911,MID1.0,004,60.0233264022,
33,1,5.0,147.940479994,Green,1,0.23382806778,1,15,152.37354207,152.379567448,4.4325299263,0.473121467776,0.467130899429,yes,2018_Nov_20_0911,MID1.0,004,60.0233264022,
34,1,4.0,152.374098063,Green,1,0.237742900848,1,16,156.656944036,156.653386883,4.28247404099,0.49646096597,0.50005698204,yes,2018_Nov_20_0911,MID1.0,004,60.0233264022,
35,1,4.0,156.658499956,Blue,0,,-1,16,160.807249069,160.803509752,4.14830517769,0.479036848223,0.482820034027,yes,2018_Nov_20_0911,MID1.0,004,60.0233264022,
36,1,5.0,160.807767868,Green,1,0.233761787415,1,17,165.258068085,165.257944897,4.44986915588,0.466910913905,0.467071056366,yes,2018_Nov_20_0911,MID1.0,004,60.0233264022,
37,1,5.0,165.258589983,Green,0,,-1,17,169.541884899,169.544128298,4.282943964,0.469224332982,0.46702504158,yes,2018_Nov_20_0911,MID1.0,004,60.0233264022,
38,1,6.0,169.542586088,Green,1,0.254395008087,1,18,173.975625992,173.985286918,4.43258810043,0.493010010951,0.48338508606,yes,2018_Nov_20_0911,MID1.0,004,60.0233264022,
39,1,6.0,173.976200104,Green,0,,-1,18,178.409478903,178.409308962,4.43282985687,0.499862960977,0.500137090683,yes,2018_Nov_20_0911,MID1.0,004,60.0233264022,
40,1,7.0,178.410187006,Green,1,0.267373085022,1,19,182.659959078,182.66349515,4.24923396111,0.48699506768,0.483496904373,yes,2018_Nov_20_0911,MID1.0,004,60.0233264022,
41,1,7.0,182.660531998,Green,1,0.267190933228,1,20,186.860363007,186.870468171,4.19935798645,0.493464263104,0.483397006989,yes,2018_Nov_20_0911,MID1.0,004,60.0233264022,
42,1,6.0,186.861011028,Green,0,,-1,20,191.160741091,191.169924407,4.29934096336,0.509249358529,0.500110864639,yes,2018_Nov_20_0911,MID1.0,004,60.0233264022,
43,1,7.0,191.16145587,Blue,0,,-1,20,195.377825022,195.385445916,4.21583914757,0.490862929172,0.483287096024,yes,2018_Nov_20_0911,MID1.0,004,60.0233264022,
44,1,8.0,195.378537893,Green,1,0.283942937851,1,21,199.461658001,199.466106219,4.08266997337,0.487971348535,0.483559131622,yes,2018_Nov_20_0911,MID1.0,004,60.0233264022,
