.thisTrialN,.stepSize,.intensity,time.onset,cue.color,.response,Target_Resp.rt,Trial.rewardType,Total_Earned,time.global,time.nominal,time.trial,time.plannedfixlength,time.actualfixlength,fMRI? (yes or no),date,expName,participant,frameRate,
28,1,3.0,127.258708,Blue,0,,-1,14,131.374829054,131.37969664,4.11558914185,0.488276513869,0.483464956284,yes,2018_Nov_16_1855,MID1.0,002,60.0257316269,
29,1,4.0,131.375679016,Green,1,0.21723484993,1,15,135.39180398,135.391625679,4.0156018734,0.499679602054,0.499910116196,yes,2018_Nov_16_1855,MID1.0,002,60.0257316269,
30,1,4.0,135.392614126,Green,1,0.21747303009,1,16,139.542276144,139.554197144,4.14902114868,0.478713106382,0.466838121414,yes,2018_Nov_16_1855,MID1.0,002,60.0257316269,
31,1,3.0,139.543016195,Blue,1,0.200712919235,-1,16,143.625558138,143.62254584,4.08210086823,0.496775748264,0.499835014343,yes,2018_Nov_16_1855,MID1.0,002,60.0257316269,
32,1,3.0,143.626300097,Green,1,0.200515031815,1,17,147.876429081,147.877657763,4.24967098236,0.484645716379,0.483459949493,yes,2018_Nov_16_1855,MID1.0,002,60.0257316269,
33,1,2.0,147.877054214,Blue,0,,-1,17,152.3768332,152.376999547,4.49934601784,0.483842541979,0.483721017838,yes,2018_Nov_16_1855,MID1.0,002,60.0257316269,
34,1,3.0,152.377547026,Green,1,0.20042014122,1,18,156.710740089,156.714239396,4.33274698257,0.486968315945,0.483511924744,yes,2018_Nov_16_1855,MID1.0,002,60.0257316269,
35,1,3.0,156.711441994,Green,0,,-1,18,160.794347048,160.805161144,4.08237719536,0.477376129268,0.466611146927,yes,2018_Nov_16_1855,MID1.0,002,60.0257316269,
36,1,4.0,160.795082092,Blue,1,0.217370986938,-1,18,165.244955063,165.251946913,4.44939494133,0.490426765342,0.48348903656,yes,2018_Nov_16_1855,MID1.0,002,60.0257316269,
37,1,4.0,165.245804071,Green,1,0.217151880264,1,19,169.645347118,169.650326873,4.39899301529,0.488423730447,0.483486890793,yes,2018_Nov_16_1855,MID1.0,002,60.0257316269,
38,1,3.0,169.647251129,Green,1,0.200461864471,1,20,174.0125072,174.017527719,4.36480093002,0.488482614343,0.483505964279,yes,2018_Nov_16_1855,MID1.0,002,60.0257316269,
39,1,3.0,174.013262987,Green,1,0.204361200333,1,21,178.46274209,178.470824544,4.44902086258,0.491210524878,0.483175039291,yes,2018_Nov_16_1855,MID1.0,002,60.0257316269,
40,1,2.0,178.463471174,Green,0,,-1,21,182.846579075,182.852267286,4.38265585899,0.489397069819,0.483753919601,yes,2018_Nov_16_1855,MID1.0,002,60.0257316269,
41,1,3.0,182.847189188,Green,1,0.20419883728,1,22,187.247099161,187.247141105,4.3993999958,0.500128966553,0.500128984451,yes,2018_Nov_16_1855,MID1.0,002,60.0257316269,
42,1,3.0,187.247879982,Blue,1,0.203691005707,-1,22,191.414190054,191.424034594,4.16584897041,0.493079422255,0.483280897141,yes,2018_Nov_16_1855,MID1.0,002,60.0257316269,
43,1,2.0,191.414856195,Green,1,0.18393611908,1,23,195.914624214,195.91452288,4.49931001663,0.499898666204,0.50004196167,yes,2018_Nov_16_1855,MID1.0,002,60.0257316269,
44,1,2.0,195.915404081,Green,1,0.187418937683,1,24,200.398087025,200.395473349,4.48215985298,0.480320322745,0.482993125916,yes,2018_Nov_16_1855,MID1.0,002,60.0257316269,
